Key,Description,Standard,pt-BR,zh-TW
SAY.Flowchart.4.Ellie,,"Oh, what a long day!","Ah, que dia longo!",這是多麼漫長的一天阿！
SAY.Flowchart.1.Miss,,"Yeah, it’s 3:30 AM already.{wc}Sorry for keeping you here late, I’ll pay you overtime.","Sim, já são 3:30 da manhã.{wc}Desculpe por te segurar aqui até tarde, vou te pagar hora extra.",現在竟然已經凌晨三點半了！{wc}讓你超時工作真是抱歉，我會記得補加班費的！
SAY.Flowchart.186.Ellie,,{i}(Overtime !??$??!$?$? Overtime AND a raise??),{i}(Hora extra !??$??!$?$? Hora extra E um aumento??),{i}（加班費！？還讓我升值！？）
SAY.Flowchart.182.Ellie,,"Are you sure? I mean, I would love it, but..","Você tem certeza? Quero dizer, eu amaria, mas...",你確定！？我不是在抱怨但是......
SAY.Flowchart.188.Miss,,"Of course, that’s only proper!{wc}Even if this job is relatively ‘underground,’ we still have to be virtuous people.","Claro, isso é o justo!{wc}Mesmo que este trabalho seja ""alternativo"", nós ainda temos que ser pessoas íntegras.",這是理所當然的！{wc}即使我們幹的是髒活，我們還是有良心的。
SAY.Flowchart.189.Ellie,,"You know, I don’t think I’d mind working on harder tasks...","Sabe, eu não acho que me importaria em trabalhar com tarefas mais difíceis...",你的寬厚之心讓我更有勇氣挑戰更難的工作了！
SAY.Flowchart.106.Miss,,Hahah!,Hahah!,哈哈哈！
SAY.Flowchart.265.Miss,,"Hmm, but -- short thought experiment -- what if the money was coming from an immoral place?","Hmm, mas, só para saber, e se o dinheiro estivesse vindo de um lugar imoral?",嗯，我們來做個思想實驗好了—如果這些錢的取得是不道德的呢？
SAY.Flowchart.183.Ellie,,Huh? What do you mean?,Hã? O que você quer dizer?,蛤？什麼意思？
SAY.Flowchart.191.Miss,,"Well~, sometimes I just like thinking of who’s touched this money before, you know? How did it get into my hands?","Bom~ às vezes eu só gosto de pensar em quem tocou nesse dinheiro antes de mim, sabe? Como ele veio parar nas minhas mãos?",有時我總是喜歡思考～我們手上的錢的上一個主人是誰？它是如何到我們手中的？
SAY.Flowchart.193.Ellie,,"Oh! I’ve never thought of that. Maybe the previous owner could have owned 15 cats!{wc}Ahh, I love cats...","Ah! Eu não tinha pensado nisso. Talvez o antigo dono do dinheiro poderia ter 15 gatos!{wc}Ahh, eu amo gatos...",ㄟ～我從來都沒有思考過這個問題ㄟ。說不定上一個擁有這些錢的人擁有時五隻貓阿！{wc}啊！我真的被貓星人給征服了啊～
SAY.Flowchart.194.Miss,,"Aww yes, cats are amazing.","Ahh sim, gatos são incríveis.",貓真的是神奇的可愛生物
SAY.Flowchart.196.Ellie,,We don’t deserve them!,Nós não os merecemos!,我們真的不配他們啊！
SAY.Flowchart.197.Miss,,I concur.,Eu concordo.,真的
SAY.Flowchart.201.Ellie,,"It seems like today is another work day. There’ve been so many I lost count, from all over the place!{wc}That reminds me: the other day, I finally got enough money to purchase something at Pocket Jewelry -- a cute little cat pendant necklace -- and sort of hinted at the robbery...","Parece que hoje é outro dia de trabalho. Já foram tantos que perdi as contas, e em todos os cantos da cidade!{wc}Isso me lembra que, no outro dia, eu finalmente consegui dinheiro o bastante para comprar algo na Joias de Bolso, um colar com pingente de gato muito fofo, e meio que falei do roubo...",看來今天又要開始上工了。{wc}這讓我想起那一天終於有餘力從中正珠寶店—我曾經工作過的地點購買一串可愛的貓咪項鍊
SAY.Flowchart.214.Store Clerk,,Thank you for your purchase!{wc}Have a nice day!,Obrigada pela sua compra!{wc}Tenha um ótimo dia!,感謝您的購買！{wc}祝你今天過得愉快！
