Key,Description,Standard,pt-BR,zh-TW
SAY.ENIntro.1.Ellie,,...Hello! My name is Ellie!,...Olá! Meu nome é Ellie!,我叫做艾莉！
SAY.ENIntro.4.Ellie,,...,...,......
SAY.ENIntro.5.Ellie,,"Hmm... there’s not really much else to say, I’m just a normal girl with normal hobbies and a normal-ish job...{wc}Um, wanna know my favorite color? It's #c70a0a, a nice shade between red and red velvet!","Hmm... não há muito mais a se dizer, eu sou apenas uma garota normal com passatempos normais e um trabalho normal...{wc}Hum, quer saber qual a minha cor favorita? É a #c70a0a, um belo tom entre vermelho e carmesim!",我好像沒有太多可以介紹的。我自己只是一個平凡的女孩，擁有平凡的興趣平凡的職業......{wc}對了，你知道我最喜歡的顏色嗎？是 #c70a0a，一種類似於龍蝦的深紅色，不錯吧！
SAY.ENIntro.105.Ellie,,"I don’t know, I’m just rambling on now...","Eu não sei, agora estou apenas divagando...",我不知道該講什麼了，剛剛都只是在碎唸而已......
SAY.ENIntro.7.Ellie,,"Oh! Today marks the 3 week anniversary of my first ever job. It doesn’t have any set hours, but it pays $1,500 every time I go! Can you believe it?","Oh! Hoje faz exatos 3 meses que comecei no primeiro trabalho da minha vida. Não é um trabalho com horário fixo, mas paga 7 mil reais toda vez que vou! Você acredita nisso?",對了！今天是我在我的第一份工作的第三週了！這份工作沒有固定的工時，但此份工作一次就給五萬多！你敢相信嗎？
SAY.ENIntro.6.Ellie,,"Ah, but you must be wondering ‘where are you?’ and ‘what are you wearing?’ and ‘why does your hair look so gorgeous?’.{wi} Fear not, for I am here to answer all your questions!","Ah, mas você deve estar se perguntando ""onde você está?"" e ""o que você está vestindo?"" e ""por que seu cabelo está tão lindo?"". Não tema, pois eu estou aqui para responder todas as suas perguntas!",你可能在想，「你現在在哪？」、「你現在穿的是什麼」或是「為什麼妳的頭髮這麼好看？」等等問題。{wi}不用擔心，我就是專門回答這些問題的！
SAY.ENIntro.23.Ellie,,My first college semester is finally over!! All my pain and suffering can end!!!,Meu primeiro semestre da faculdade finalmente acabou!! Toda a minha dor e sofrimento terminaram!!!,我終於脫離了大學第一年的摧殘了！所有大學期間的痛楚也終於可以停止了！
SAY.ENIntro.109.Ellie,,"Temporarily, but still...","Temporariamente, mas ainda assim...",暫時拉......但是至少可以暫時放掉一陣子
SAY.ENIntro.25.Ellie,,"Woah, what is this? A poster? It’s so cute!","Uau, o que é isso? Um cartaz? É tão fofo!",這是什麼？一張海報？好可愛啊！
SAY.ENIntro.26.Ellie,,Hmmm..{wc}Miss Inconspicuous Maid Girl Cleaning Co... (That’s such a long name)... Now hiring for --,Hmmm..{wc}Serviços de Limpeza Dona Discreta... (Que nome longo)... Contratando agora por...,{wc}小姐絕對正常女僕清潔股份有限公司（真長的名字啊）誠徵—
SAY.ENIntro.113.Ellie,,-- HUH?,HUH?,蛤！？
SAY.ENIntro.115.Ellie,,"$1,500 per day on the job?{wi} IN THIS ECONOMY!? And a day on the job meaning ... an HOUR?",7 mil reais por cada dia de trabalho? NESTA ECONOMIA!? E um dia de trabalho significando... só uma HORA?,一次五萬？{wi}在這種經濟下可以找到這種工作？而且只是清潔而已一小時內就有這麼多進到我的戶頭？
SAY.ENIntro.102.Ellie,,"Oh my gosh, should I just join?","Oh meu Deus, será que devo tentar?",哇！我應該加入嗎？
MENU.ENIntro.35,,Money!!?? Count me in!,Dinheiro!? Tô dentro!,錢！？誰不愛錢？
MENU.ENIntro.36,,I think I'll pass.,Acho que não.,妳沒看過 ATM 上播的車手廣告嗎？看起來就牙敗牙敗的！
SAY.ENIntro.30.,,Are you sure?,Tem certeza?,你確定？
MENU.ENIntro.202,,Yes (why...),Sim (por que...),對啦！（靠你裝這遊戲幹什麼）
MENU.ENIntro.203,,No (good choice),Não (boa escolha),再想一下（好選擇）
SAY.ENIntro.37.Ellie,,"Alright, I’m in!","Certo, tô dentro!",好！我這就去應徵！
SAY.ENIntro.118.Ellie,,"Oh, it seems the company’s building is supposed to be... the one in front of me?","Ah, parece que o prédio da empresa é... este bem na minha frente?",看起來這公司的建築就是我眼前的這間？
SAY.ENIntro.120.Ellie,,Let’s go!,Vamos lá!,走吧！
SAY.ENIntro.40.Ellie,,"Woah... wait.. hold on, what’s going on?!?!","Uau... espera... espera aí, o que tá acontecendo?!?!",剛剛發生了什麼事？
SAY.ENIntro.205.,,"Okay, if you insist...","Então tá, se você insiste...",好吧！如果你堅持。
SAY.ENIntro.33.,,"And thus Ellie the normal girl with normal hobbies continued on with her normal day in her normal life in this normal, non-corrupted, world.","E então Ellie, a garota normal com passatempos normais, seguiu seu dia normal na sua vida normal neste mundo normal e não corrompido.",所以艾莉就繼續待在在她眼裡不被污染的世界內，平靜的、快的生活。
SAY.ENIntro.70.Ellie,,Today is my 3-week job anniversary with Miss!,Hoje faz 3 semanas que trabalho com a Dona!,今天是我得到工作的第三週！
