Key,Description,Standard,pt-BR,zh-tw
SAY.Minigame1.18.Ellie,,"Geez, this place looks like a mess. Granted, all of the places I’ve cleaned so far also looked like a mess.{wc}Where should we start? Hmm.. ","Caramba, esse lugar está uma bagunça. É sempre assim, todos os lugares que eu limpei até agora também estavam muito bagunçados.{wc}Por onde devo começar? Hmm...",天啊！這邊還真看起來像是剛打過戰爭一樣。雖然我目前所有的工作地點都差不多髒亂就是了。{wc}我們該從哪裡開始嗎？
SAY.Minigame1.19.,,"{i}Try dragging the screen around, then clicking on things to clean them up.{wc}You can use the buttons in the top right or the scroll wheel to zoom in and out.{wc}Find all the places to clean up to fill the bar at the top!{/i}","{i}Tente arrastar a tela, então clique nas coisas para arrumá-las.{wc}Você pode usar os botões no canto superior direito ou a roda de rolagem do mouse para ampliar ou reduzir a imagem.{wc}Encontre todos os lugares que precisam ser arrumados para zerar o número no topo da tela!{/i}",{i}操作方式：我們一起來清理這裡吧！請用滑鼠點擊髒亂的地方以清理它們。{wc}您可以將畫面拖動以尋找其他髒污，也可以利用滾輪縮放畫面。{wc}我們一起把這裡清理好，讓上方的量條填滿吧！{/i}
SAY.Minigame1.2.Ellie,,Why would the painting be tilted?,Por que a pintura estaria inclinada?,為什麼畫框是歪的呢？
SAY.Minigame1.3.Miss,,"Probably a novice move, they might have bumped into the painting while attempting to open a drawer.{wc}Or they were searching for a secret safe?",Provavelmente foi um erro de principiante. Eles devem ter esbarrado na pintura enquanto tentavam abrir uma gaveta.{wc}Ou eles estavam procurando por um cofre secreto?,他們可能做事糊塗把畫框撞歪吧？{wc}還是他們是在想辦法於急忙之中找到保險箱？
SAY.Minigame1.4.Ellie,,A secret safe would be cool!,Um cofre secreto seria legal!,這裡是不是有藏著神秘保險箱等我尋寶？
SAY.Minigame1.5.Miss,,"Aww sweetheart, I’m pretty sure no one hides secret safes behind such easily removable paintings anymore.","Aww querida, tenho quase certeza de que ninguém mais esconde cofres secretos atrás de pinturas tão fáceis de tirar da parede.",妳還真是可愛呢！我很確定不會有人想把保險箱藏在畫底下這麼容易找到的地方。
SAY.Minigame1.7.Ellie,,Why is this glass so easily broken?,Por que esse vidro é tão fácil de quebrar?,這裡的玻璃都特別容易碎嗎？
SAY.Minigame1.8.Miss,,"Darling, I’m pretty sure they just brought a hammer.","Meu bem, estou certa de que eles trouxeram um martelo.",寶貝，我相信他們可能「不慎」用鎚子把玻璃敲破的而已～
SAY.Minigame1.11.Ellie,,{i}(It’s such a mess...),{i}(Está tudo uma bagunça...),{i}（這裡真是一團亂）
SAY.Minigame1.14.Miss,,"Be careful, don’t touch any glass! You don’t want to get cut.","Tenha cuidado, não toque em nenhum pedaço de vidro! Você não quer acabar se cortando.",清理玻璃的時候小心不要被碎片刺到啊！
SAY.Minigame1.13.Ellie,,"Ah! Yes, thank you!!","Ah! Sim, obrigada!!",啊！謝謝妳！
SAY.Minigame1.17.Ellie,,This store should’ve had an alarm system.,Essa loja deveria ter um sistema de alarme.,這家店應該要有一個警報系統的。
SAY.Minigame1.16.Miss,,"They probably did, which is why we’re here!","Eles provavelmente tinham, e é por isso que estamos aqui!",我們會在這裡不也是因為他們這兒有裝警報系統嗎？
CHARACTER.Miss,,Miss,Dona,小姐
CHARACTER.Ellie,,Ellie,Ellie,艾莉
