Minigame2Init,,,,
Key,Description,Standard,pt-BR,zh-TW
SAY.Minigame2.18.Ellie,,"{i}(Woah.. Miss wasn’t kidding when said there was more work to do. Okay, let’s take this one step at a time.)","{i}(Uau.. Dona não estava brincando quando disse que tinha mais trabalho a ser feito. Certo, vamos fazer isso com um passo de cada vez.)",{i}（說這裡的工作量比之前大一百倍也不為過！好吧！我們就一件事一件事慢慢來吧！）
SAY.Minigame2.2.Ellie,,I feel like an actual maid now.,Agora me sinto como uma faxineira de verdade.,我感覺像是真正的女僕啊！
SAY.Minigame2.3.Miss,,Would you prefer that?,Você preferiria ser uma?,妳想當真的女僕嗎？
SAY.Minigame2.4.Ellie,,"...No, it’s more cozy like this. Wah -- wait, not the crimes! I meant just having it be you and me, you know?","...Não, é mais agradável assim. Ahh... espera, não os crimes! Eu quis dizer por sermos só você e eu, sabe?",好......還是算了，我比較喜歡現在的樣子—等等我不是指那些搶劫案！我只是享受你跟我一起工作時的美好時光而已。
SAY.Minigame2.5.Miss,,Hahaha! You truly are precious. I think the same.,"Hahaha! Você, de fato, é uma pessoa amada. Eu penso o mesmo.",哈哈！我也這麼覺得！
SAY.Minigame2.23.Ellie,,{i}(I downright love working with Miss... she’s so nice and supportive.),{i}(Eu absolutamente amo trabalhar com a Dona... ela é tão legal e compreensiva.),{i}（我真心非常喜歡跟小姐合作呢！在我有困難的時候總是會伸出援手！）
SAY.Minigame2.7.Ellie,,I thought you said there wouldn’t be any more fixing windows today.,Eu achei que você tinha dito que não teríamos nenhuma janela para reparar hoje.,我還想說妳承諾過今天不會有修玻璃的任務了。
SAY.Minigame2.8.Miss,,"Hm? No, I said ‘not just broken glass.’{wc}You’re amazing at fixing glass, but the true art of cleaning can be found in the little things!","Hm? Não, eu disse ""não apenas vidro quebrado.""{wc}Você é incrível em reparar vidro, mas a verdadeira arte da arrumação pode ser encontrada nas pequenas coisas!",蛤？我剛剛是指「不僅限於修復玻璃」的工作。{wc}我知道妳對於修玻璃的在行，但是我們還是可以從其他小細節中找到清理的藝術！
SAY.Minigame2.11.Ellie,,{i}(Hopefully it doesn’t come undone again.){wc}(I’d hate to store my valuables here and have the handle break when I need to take them out...),"{i}(Espero que não desencaixe novamente.){wc}(Eu odiaria guardar minhas coisas valiosas aqui e, quando precisasse pegá-las, o puxador quebrasse...)",{i}（希望這手把不要再壞掉了。）{wc}（我真的不希望當作那位東西因為手把壞掉而被卡在裡面的倒楣鬼。）
SAY.Minigame2.13.Ellie,,"{i}As I put the cup back in place and move away, I notice Miss covering it with her body.{wc}Perhaps she wanted coffee? But I see her hand slip into a pocket in her dress and pull out a tiny bag with --","{i}Assim que coloco o copo de volta no lugar e me afasto percebo Dona cobrindo ele com seu corpo.{wc}Talvez ela quisesse café? Mas, então, eu vejo sua mão escorregar para dentro de um bolso no seu traje e pegar um saquinho com...",{i}當我把杯子放回原處時，我發現小姐用身體護著它。{wc}她可能突然口渴？可是我看她好像把一個小東西塞進口袋內並且拿出一袋...…
