Key,Description,Standard,pt-BR,zh-TW
SAY.Flowchart.18.Ellie,,{i}(Oh. Wow.. uh... this may be hard.),{i}(Ah. Uau.. é.. isso talvez seja difícil.),{i}（歐哇！這應該是至今最大的挑戰吧？）
SAY.Flowchart.57.Ellie,,"Miss, do you perhaps.. want to share the cherries together? It might help my nerves.","Dona, talvez você.. gostaria de dividir as cerejas comigo? Comê-las talvez ajude a me acalmar.",小姐......妳可以跟我分一些櫻桃嗎？這可以分散注意力，緩和恐怖的氣氛。
SAY.Flowchart.58.Miss,,"Oh, of course! You were the one who bought them anyway.","Ah, Claro! De qualquer forma, foi você quem as comprou.",好啊！反正那盒櫻桃也是妳買的。
SAY.Flowchart.59.Ellie,,But I gave them to you though! So they’re yours now!,"Mas eu dei elas pra você! Então elas são suas, agora!",可是那是我送妳的！所以那盒櫻桃就是妳的了！
SAY.Flowchart.60.Miss,,"Hahah, okay, okay! Let’s share them then.","Hahah, tá bom, tá bom! Vamos dividi-las, então.",那我就分一些給妳吧！
SAY.Flowchart.61.Ellie,,"{i}(...On second thought, being in this environment makes me feel a little sick. I don’t think I can even talk much, there’s just this unsettling vibe.){wc}(Oh well, I guess I’ll just get this done as soon as possible and get back home!)","{i}(...Pensando bem, estar nesse ambiente faz eu me sentir um pouco doente. Eu não acho que consiga nem falar muito, só sinto essa energia perturbadora.){wc}(Enfim, acho que vou só fazer meu trabalho o mais rápido possível e voltar pra casa!)",{i}（這裡的氣氛沈重的讓我有點不舒服。我真的在這種不適的空間內講不出什麼話）{wc}（我還是趕緊把這事做完離開這鬼地方吧！）
SAY.Flowchart.2.Ellie,,"{i}(Cobweb, cobweb, go away...--)","{i}(Teiazinha, teiazinha, vá embora...)",{i}（蜘蛛蜘蛛快走吧！）
SAY.Flowchart.62.Ellie,,WAAAAUGH!,AAAAAHHH!,哇啊啊啊啊啊啊！
SAY.Flowchart.3.Miss,,Ellie!? What’s wrong??,Ellie!? O que foi??,艾莉！？發生什麼事了？
SAY.Flowchart.63.Ellie,,"SPIDER, SPIDER, SPIDERRHGHEIKGVFSFNJ!!!","ARANHA, ARANHA, ARANHARHGHEIKGVFSFNJ!!!",有蜘蛛！蜘蛛！蜘蛛蜘蛛蜘蛛！！
SAY.Flowchart.5.Miss,,"Oh, I can get that for you.","Ah, eu posso pegá-la pra você.",這我也可以幫妳處理掉，別擔心的。
SAY.Flowchart.23.Ellie,,{i}(Miss picks up the spider with her hands and moves it outside the doorway.),{i}(Dona pega a aranha com as mãos e a leva para fora.),{i}（小姐毫不費力地將蜘蛛移到門外。）
SAY.Flowchart.66.Miss,,"There, better?","Pronto, melhor?",這樣有好一點了嗎？
SAY.Flowchart.65.Ellie,,Waahh.. yes... maybe I shouldn’t be a maid.,Aaahh.. sim.. talvez eu não devesse ser uma faxineira.,哇啊啊......我說不定想放棄當女僕這行。
SAY.Flowchart.64.Miss,,"Oh, nonsense, everyone’s bound to be scared of something.","Ah, bobagem, todos estão fadados a terem medo de algo.",每個人當然有自己害怕的東西啦～沒關係！
SAY.Flowchart.67.Ellie,,{i}(She’s so nice... are all employers like this?),{i}(Ela é tão legal... todos os patrões são assim?),{i}（她真的對我好好啊！所有的主管都對員工這麼好嗎？）
SAY.Flowchart.7.Ellie,,"{i}(These pillows are really stiff. I can’t imagine someone sleeping with these, it must be so uncomfortable.){wc}(My neck hurts just thinking about it...)","{i}(Esses travesseiros são muito duros. Mal posso imaginar alguém dormindo com eles, deve ser muito desconfortável.){wc}(Meu pescoço dói só de imaginar...)",{i}（這些枕頭真的好硬啊！那一定睡起來很不舒服吧？）{wc}（光是想像自己睡在那上面的樣子就令人脖子痛。）
SAY.Flowchart.11.Ellie,,"{i}(Oh... did someone... no, it doesn’t seem like it...){wc}(I wanna get out of here...)","{i}(Ah... será que alguém... não, não parece ser...){wc}(Eu tenho que sair daqui...)",{i}（歐是不是有人......等等，看來不是。）{wc}（我真的不想繼續待在這了。）
SAY.Flowchart.13.Ellie,,"{i}(Some of the clothes are so small. Like something I’d wear when I was eight or something. Oh, why does time pass so fast..)","{i}(Algumas peças de roupa são muito pequenas, como algo que eu usaria quando tinha oito anos ou algo assim. Ah, por que o tempo passa tão rápido...)",{i}（這裡的衣服真的好小啊！感覺是我八歲時會穿的那種衣服。啊～為什麼時間總是過這麼快～）
