Key,Description,Standard,pt-BR,zh-TW
SAY.Flowchart.1.Miss,,Done with another day!,Acabamos mais um dia!,終於大功告成！
SAY.Flowchart.4.Ellie,,"Yesyesyes, whew!! :D","Simsimsim, ufa!!  :D",太太太太棒 ler！！
SAY.Flowchart.106.Miss,,How did you feel about today?,Como você se sente sobre hoje?,今天感覺如何？
SAY.Flowchart.107.Ellie,,"That was pretty easy! I think I’m getting quite good at fixing the windows.{wc}Say, what are you doing afterwards? Want to get some coffee or something?{wc}I actually need to go buy groceries--","Isso foi bem fácil! Acho que estou ficando boa em reparar janelas.{wc}Me diga, o que você vai fazer depois? Quer tomar um café ou algo?{wc}Na verdade, eu tenho que fazer umas compras...",其實這工作還蠻簡單的！我覺得我對修理窗戶越來越在行呢！{wc}我們接下來要一起出去玩嗎？買杯咖啡或是什麼的？{wc}我也應該去超市買買東西吧～
SAY.Flowchart.108.Miss,,Ellie! It’s 3 AM!,Ellie! São 3 da manhã!,艾莉！現在凌晨三點！！！
SAY.Flowchart.109.Ellie,,"Hehe, I’m just kidding!{wc}We should hang out sometime outside of work though, when it’s actually bright outside.","Hehe, estou só brincando!{wc}Nós deveríamos sair juntas algum dia sem ser no trabalho, quando ainda estiver claro lá fora.",哈哈，我是開玩笑的！{wc}我們改天天亮時還是可以一起出去玩歐～
SAY.Flowchart.110.Miss,,"Oh yes, that would be nice.","Ah sim, isso seria ótimo.",那一定很棒吧！
SAY.Flowchart.112.Ellie,,{i}(We never did end up meeting up outside of work.){wc}(And I totally forgot to celebrate my 3 week anniversary.),{i}(Nós acabamos nunca nos encontrando fora do trabalho.){wc}(E eu acabei esquecendo completamente de comemorar o marco de 3 semanas no emprego.),{i}（ㄟ......我們後來也還是沒有在工作之餘見過面啦～）{wc}（然後我也忘記慶祝自己工作已滿三週惹～）
SAY.Flowchart.119.Ellie,,Yet another work day...!,Mais um dia de trabalho...!,又是忙碌的一天！
SAY.Flowchart.120.Ellie,,"I’ve been at this job for how long now?{wc}I’m not sure, but sometimes it seems a little boring. Other times, I guess it’s quite intriguing. ","Já estou nesse trabalho a quanto tempo?{wc}Não tenho certeza, mas às vezes parece um pouco entediante. Já em outras vezes, eu acho que é bem intrigante.",我目前已經在這工作多久了？{wc}我也不太確定，但有時候也有點無聊，甚至很煩人。
SAY.Flowchart.121.Ellie,,"Like, how are these crimes committed so quietly? There’s literally no news about it!{wc}And where is my paycheck coming from?","Tipo, como esses crimes são cometidos tão silenciosamente? Não tem literalmente nenhuma notícia sobre eles!{wc}E de onde meu pagamento está vindo?",「那些『案子』是怎麼在無人知無人曉的情況下犯的？」我總是這麼想。「新聞也根本沒有報導這些案子啊！」{wc}然後下一次發薪日是什麼時候啊？
SAY.Flowchart.162.Ellie,,"But I don’t really care too much, as long as I get the money!","Mas eu não me importo tanto assim, desde que eu seja paga!",但我一點也不關心，因為我只想要豐厚的薪水！
SAY.Flowchart.122.Ellie,,"{i}I walk into Cinnamon Hotel through its back door.{wc}I’ve never heard of this hotel before; it looks a bit run-down and shabby on the outside, just perfectly blending into the surrounding buildings.{wc}But the inside’s design is pretty modern, though rather empty.{wc}I slightly hope there’s something cinnamon-related while climbing the emergency stairs to the room Miss told me to meet at.","{i}Eu entro pela porta dos fundos do Hotel Canela.{wc}Eu nunca tinha ouvido falar desse hotel; por fora ele parece um pouco desgastado e decadente, harmonizando perfeitamente com os prédios ao redor dele.{wc}Mas por dentro tem um design moderno, embora esteja meio vazio.{wc}Eu tenho uma pequena esperança de que tenha algo relacionado à canela enquanto subo as escadas de emergência até a sala na qual Dona me disse para encontrá-la.",{i}我從後門悄悄的走進肉桂飯店。{wc}我從來都沒有聽過這家飯店，但是從外觀上總覺得破破舊舊的，與其他旁邊建築的樣子十分搭。{wc}飯店內部空曠但看起來十分現代。{wc}我爬上緊急樓梯往工作約定的地點會合。
SAY.Flowchart.130.Miss,,Hey Ellie! How’s it going?,"E aí, Ellie! Como você está?",嗨艾莉！最近過得如何？
SAY.Flowchart.131.Ellie,,"Ahh, doing good! Just another day, you know?","Ahh, estou bem! Apenas mais um dia, sabe?",過得不錯呢！又是另一個工作天啊！
SAY.Flowchart.132.Miss,,"Of course. {wi}We have a hotel room to clean today -- it’s a new experience for you, but I’m sure you will do great!{wc}I’m here if you need any help, though I’ll mainly be taking care of some other things for a bit or checking over the things you clean.{wc}Our client is pretty important, and we don’t want him to be dissatisfied.{wc}There’s a lot of things this time, not just broken glass!","Claro.{wi} Nós temos um quarto de hotel para arrumar hoje... é uma nova experiência para você, mas eu tenho certeza que você se sairá bem!{wc}Estou aqui se precisar de ajuda, embora eu esteja principalmente cuidando de outras coisas e, também, checando as coisas que você arrumar.{wc}Nosso cliente é muito importante, e não queremos que ele fique insatisfeito.{wc}Temos muitas coisas para arrumar dessa vez, não apenas vidro quebrado!",當然。{wi}我們將清理一間飯店房間—這將會是全新的挑戰，但是我相信依照妳的實力一定能夠克服的！{wc}雖然今天我也有自己的工作需要完成，但是有問題直接找我問就對了。{wc}這次的客戶將會比平常嚴格，所以我們必須確保這次清理地滴水不漏。{wc}對了，這回的工作項目也會比平常繁雜！不將只是修復窗戶這麼簡單的工作而已！
SAY.Flowchart.133.Ellie,,OH MELON! {wi}Something new? {wi}Apart from fixing broken glass?,AH CÉUS! {wi}Algo novo? {wi}Além de reparar vidro quebrado?,蛤？{wi}除了清理玻璃外的的工作內容？{wi}是什麼啊？
SAY.Flowchart.134.Miss,,"Haha, yeah~! I know you’ll pick it up in a heartbeat, though.{wc}Do you have any questions?","Haha, sim~! Entretanto, eu sei que você pegará o jeito rapidamente.{wc}Alguma pergunta?",哈哈！感覺妳應該能很快習慣新的的工作內容呢！{wc}目前有任何問題嗎？
SAY.Flowchart.137.Miss,,"Mmm.. it’s hard to tell. All I can really say is that this is a bigger incident than anything we’ve done before.{wc}...My gut tells me that it is related to a smuggling issue, but I’m afraid I can’t confirm anything, dear.","Hum... é difícil dizer. O que eu posso dizer é que este é um incidente maior do que qualquer outro que já arrumamos.{wc}...Algo me diz que está relacionado com contrabando, embora eu não possa confirmar nada, querida.",嗯—還有點難說，感覺這次的犯罪現場的規模以及程度是我們工作以來遇到最大的吧？{wc}我的直覺認為這次算是走私案件，但連我也沒辦法百分百確定。
SAY.Flowchart.139.Ellie,,...!!{wc}WAA a smuggling issue? What kind? That sounds super dangerous..,"...!!{wc}QUÊE, contrabando? De que tipo? Isso parece muito perigoso...",{wc}蛤？走私？哪種啊？聽起來超嚴重的！
SAY.Flowchart.140.Miss,,"Haha~, I wish I could answer your questions, sweetheart.{wc}Unfortunately, there’s nothing else I can say about the situation except that you’ll be safe.","Haha~, eu queria poder responder a todas as suas perguntas, meu bem.{wc}Infelizmente, não há nada mais que eu possa dizer a não ser, é claro, que você estará segura.",我也希望能夠幫妳解答呢，寶貝。{wc}不幸的是，我沒辦法再把其他細節告訴妳了。
SAY.Flowchart.141.Ellie,,"Ahh, but how do you know I’ll be safe? What about you?{wc}Can you pleasee, pretty please let me in on some ~trade secrets~?","Ahh, mas como você sabe que estarei segura? E quanto a você?{wc}Você poderia, por favorzinho, me contar alguns ~segredos do ofício~?",可是如果妳都把祕密藏給自己不會很悶嗎？{wc}不然這樣好了，我們來交換祕密，怎麼樣？
SAY.Flowchart.142.Miss,,"Oh Ellie, you’re so cute~","Ah, Ellie, você é tão fofa~",歐艾莉，妳還真可愛～
SAY.Flowchart.168.Miss,,"I’m sorry though, no questions, remember?","Mas me desculpe, sem perguntas, lembra?",真是抱歉，但不能有任何其他問題，還記得嗎？
SAY.Flowchart.143.Ellie,,"Awww hmph, okay.","Awww humpf, tá bom.",歐好吧～
MENU.Flowchart.146,,What's today's crime?,Qual o crime de hoje?,今天的「犯罪案件」是什麼呢？
MENU.Flowchart.148,,Will today be hard?,Hoje vai ser difícil?,今天的工作內容會比較困難嗎？
MENU.Flowchart.164,,I'm ready to go!,Vamos começar!,我準備好了！
SAY.Flowchart.150.Miss,,"Let’s just say that there is a lot more work to do. But don’t worry, I’ll give you a raise.","Vamos apenas dizer que tem muito mais trabalho para fazermos. Mas não se preocupe, vou te dar um aumento.",不瞞妳說，這次的工作內容會比平常來的艱辛。不過別擔心，我會幫妳加新的。
SAY.Flowchart.151.Ellie,,!!!! $$???!?$>/?,!!!! $$???!?$>\?,這麼好！？？
SAY.Flowchart.152.Ellie,,"{i}(Aaahh! If I get paid $1,500 normally, I can only imagine how much a raise will be!!){wc}(I’m gonna be RICHH $$$!)","{i}(Aaahh! Se recebo 7 mil reais normalmente, imagino quanto ganharei com um aumento!!){wc}(Serei RICA $$$!)",{i}（哇！我平常的薪水已經夠豐厚了，真的無法想像在加薪後的薪水有多多。）{wc}（不過感覺沒多久後我的財富就能夠跟郭台銘匹敵了ㄟ！）
SAY.Flowchart.153.Ellie,,"Hehe, I bet this work will be nothing that we can’t do together!","Hehe, Aposto que este trabalho não será nada que não possamos fazer juntas!",我相信沒有工作能夠阻止我們兩個人的力量！
SAY.Flowchart.154.Miss,,That’s a given.,Isso é certo.,必須說確實！
SAY.Flowchart.159.Miss,,Alright! Let’s make it a good one!,Tá bem! Vamos fazer um bom trabalho!,好的！這次我們也盡心盡力吧！
CHARACTER.Ellie,,Ellie,Ellie,艾莉
CHARACTER.Miss,,Miss,Dona,小姐
